T02,"Population, density and surface area",,,,,
48,Bahrain,2010,Population mid-year estimates for males (millions),0.7741,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2010,Population mid-year estimates for females (millions),0.4668,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2010,Sex ratio (males per 100 females),165.8161,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2010,Population aged 0 to 14 years old (percentage),20.3116,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2010,Population aged 60+ years old (percentage),3.5461,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2010,Population density,1632.7105,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2017,Population mid-year estimates (millions),1.4941,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2017,Population mid-year estimates for males (millions),0.9399,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2017,Population mid-year estimates for females (millions),0.5542,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2017,Sex ratio (males per 100 females),169.5785,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2017,Population aged 0 to 14 years old (percentage),19.8415,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2017,Population aged 60+ years old (percentage),4.6051,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2017,Population density,1965.8895,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2017,Surface area (thousand km2),0.7710,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
48,Bahrain,2019,Population mid-year estimates (millions),1.6412,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2019,Population mid-year estimates for males (millions),1.0548,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2019,Population mid-year estimates for females (millions),0.5864,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
48,Bahrain,2019,Sex ratio (males per 100 females),179.8868,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2019,Population aged 0 to 14 years old (percentage),18.7187,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2019,Population aged 60+ years old (percentage),5.1096,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
48,Bahrain,2019,Population density,2159.4368,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
50,Bangladesh,2005,Population mid-year estimates (millions),139.0355,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
50,Bangladesh,2005,Population mid-year estimates for males (millions),71.2216,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
50,Bangladesh,2005,Population mid-year estimates for females (millions),67.8139,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
50,Bangladesh,2005,Sex ratio (males per 100 females),105.0251,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
50,Bangladesh,2005,Population aged 0 to 14 years old (percentage),34.3646,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
50,Bangladesh,2005,Population aged 60+ years old (percentage),6.6508,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
50,Bangladesh,2005,Population density,1068.1071,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
50,Bangladesh,2010,Population mid-year estimates (millions),147.5754,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
